year,state,Auto,Bus,Truck,Motorcycle
1925,District of Columbia,90456,0,14531,1312
1925,Florida,237991,0,50039,1200
1925,Georgia,218271,0,32278,994
1925,Hawaii,0,0,0,0
1925,Idaho,74289,0,8402,518
1925,Illinois,1103026,0,164412,6603
1925,Indiana,628543,3381,99579,4525
1925,Iowa,614318,0,47442,2393
1925,Kansas,410701,0,48597,1434
1925,Kentucky,235459,500,26975,703
1925,Louisiana,176782,0,31997,520
1925,Maine,116344,169,24952,1381
1925,Maryland,201048,460,36005,4619
1925,Massachusetts,555328,0,84124,9801
1925,Michigan,886710,0,106139,3387
1925,Minnesota,524920,417,45908,2944
1925,Mississippi,159425,0,18751,100
1925,Missouri,543965,0,61925,1989
1925,Montana,82556,0,13400,252
1925,Nebraska,302028,0,37733,1207
1925,Nevada,18245,0,3372,133
1925,New Hampshire,72576,0,9251,1701
1925,New Jersey,469156,2400,114394,8501
1925,New Mexico,42450,89,7213,212
1925,New York,1346965,3966,287421,19834
1925,North Carolina,312595,0,31660,863
1925,North Dakota,133835,0,11280,443
1925,Ohio,1181494,0,172207,12650
1925,Oklahoma,393803,0,32928,817
1925,Oregon,190510,0,27050,2547
1925,Pennsylvania,1152268,819,187102,16122
1925,Rhode Island,84308,262,17717,1407
1925,South Carolina,152943,826,16107,224
1925,South Dakota,154437,0,14465,345
1925,Tennessee,221707,720,24084,677
1925,Texas,892167,794,94371,2779
1925,Utah,63167,0,10982,719
1925,Vermont,64627,0,5149,718
1925,Virginia,247913,400,38265,1715
1925,Washington,281973,581,49344,3020
1925,West Virginia,190583,300,28099,1432
1925,Wisconsin,528917,0,68076,3523
1925,Wyoming,42699,0,5488,220
1926,Alabama,198109,759,28477,401
1926,Alaska,0,0,0,0
1926,Arizona,65304,202,9172,337
1926,Arkansas,179524,150,30476,279
1926,California,1396108,0,225313,10778
1926,Colorado,212825,0,36944,1480
1926,Connecticut,222644,585,44458,3108
1926,Delaware,36372,0,8894,342
1926,District of Columbia,98212,306,15072,1521
1926,Florida,378185,0,71731,1570
1926,Georgia,242691,0,37378,841
1926,Hawaii,0,0,0,0
1926,Idaho,86750,0,9296,509
1926,Illinois,1197127,0,178363,6156
1926,Indiana,665651,4396,108025,3738
1926,Iowa,649178,0,52653,2013
1926,Kansas,442134,0,51561,1380
1926,Kentucky,252737,429,30025,712
1926,Louisiana,204930,0,36695,500
1926,Maine,124339,150,28160,1195
1926,Maryland,217611,675,37653,4039
1926,Massachusetts,592461,1369,90770,9215
1926,Michigan,971662,0,153561,3438
1926,Minnesota,559286,379,72487,2551
1926,Mississippi,184476,0,21840,92
1926,Missouri,588408,0,67992,2010
1926,Montana,89278,0,16074,203
1926,Nebraska,338347,0,29617,1268
1926,Nevada,19470,0,4990,82
1926,New Hampshire,78505,0,10866,1444
1926,New Jersey,530408,4039,123133,7235
1926,New Mexico,47809,80,7880,205
1926,New York,1508445,4150,316048,18303
1926,North Carolina,353622,0,36096,870
1926,North Dakota,145620,0,12364,305
1926,Ohio,1298138,0,192323,12408
1926,Oklahoma,450809,0,51873,719
1926,Oregon,206668,0,29903,2215
1926,Pennsylvania,1268173,1368,197155,14609
1926,Rhode Island,91723,365,19332,1353
1926,South Carolina,163190,888,18872,270
1926,South Dakota,154140,0,15016,249
1926,Tennessee,254263,914,26751,751
1926,Texas,946476,920,111125,2679
1926,Utah,73052,0,13036,576
1926,Vermont,68506,93,5718,606
1926,Virginia,274707,475,51466,2596
1926,Washington,311021,645,55689,2893
1926,West Virginia,201956,430,27146,1273
1926,Wisconsin,582401,553,82530,3183
1926,Wyoming,44516,0,5864,179
1927,Alabama,211091,824,32519,420
1927,Alaska,0,0,0,0
